"Sample_Name","Staining_Protocol","Expt_Date","Location","Expt_No","Depth","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","Comments"
"BA210507.066","Bacteria",2020-08-04,"NJ2020",1,NA,3454942.33937397,1993729.95163188,1461212.38774209,NA,NA,NA,NA,NA
"BA210507.067","Bacteria",2020-08-06,"NJ2020",2,NA,3231054.36573311,2038118.07262113,1192936.29311198,NA,NA,NA,NA,NA
"BA210507.068","Bacteria",2020-08-18,"NJ2020",3,NA,6665980.2306425,3740874.38486357,2925105.84577894,NA,NA,NA,NA,NA
"ba201028.015","Bacteria",2020-08-20,"NJ2020",4,NA,8163509.06095552,3911664.26500633,4251844.79594919,NA,NA,NA,NA,"Whole water efficiency sample as the abundance sample was lost"
"BA210507.069","Bacteria",2020-09-01,"NJ2020",5,NA,3297775.94728171,1775345.52943836,1522430.41784336,NA,NA,NA,NA,NA
"BA210507.070","Bacteria",2020-09-03,"NJ2020",6,NA,4702883.03130148,2332420.50538652,2370462.52591496,NA,NA,NA,NA,NA
"BA210507.071","Bacteria",2020-09-05,"NJ2020",7,NA,3599258.6490939,1837173.06011258,1762085.58898133,NA,NA,NA,NA,NA
"BA210507.029","Bacteria",2020-09-16,"PE477",1,7,1053212.52059308,601835.726053189,451376.794539892,NA,NA,NA,NA,NA
"BA210507.030","Bacteria",2020-09-17,"PE477",2,7,1314415.15650741,910036.590360307,404378.566147106,NA,NA,NA,NA,NA
"BA210507.031","Bacteria",2020-09-17,"PE477",2,15,1331960.46128501,924609.741117734,407350.720167274,NA,NA,NA,NA,NA
"BA210507.032","Bacteria",2020-09-17,"PE477",2,30,1317133.4431631,920638.081133271,396495.362029827,NA,NA,NA,NA,NA
"BA210507.016","Bacteria",2020-09-18,"PE477",3,7,722446.457990115,429122.332189617,293324.125800498,NA,NA,NA,NA,NA
"BA210507.017","Bacteria",2020-09-18,"PE477",3,15,709843.492586491,416030.012176778,293813.480409713,NA,NA,NA,NA,NA
"BA210507.018","Bacteria",2020-09-18,"PE477",3,30,777800.658978583,442729.073507492,335071.585471091,NA,NA,NA,NA,NA
"BA210507.019","Bacteria",2020-09-19,"PE477",4,7,867009.884678748,583768.54667632,283241.338002428,NA,NA,NA,NA,NA
"BA210507.020","Bacteria",2020-09-19,"PE477",4,15,632495.881383855,361179.34210171,271316.539282145,NA,NA,NA,NA,NA
"BA210507.021","Bacteria",2020-09-19,"PE477",4,30,629283.360790774,341427.574724849,287855.786065925,NA,NA,NA,NA,NA
"BA210507.022","Bacteria",2020-09-20,"PE477",5,7,1562891.26853377,913724.482741651,649166.785792122,NA,NA,NA,NA,NA
"BA210507.023","Bacteria",2020-09-20,"PE477",5,15,1646416.80395387,982168.524009091,664248.27994478,NA,NA,NA,NA,NA
"BA210507.024","Bacteria",2020-09-20,"PE477",5,30,1445757.82537068,836627.670345204,609130.155025472,NA,NA,NA,NA,NA
"BA210507.005","Bacteria",2020-09-21,"PE477",6,7,865156.507413509,460347.18582773,404809.321585779,NA,NA,NA,NA,NA
"BA210507.006","Bacteria",2020-09-21,"PE477",6,15,869357.495881384,468495.32287986,400862.173001524,NA,NA,NA,NA,NA
"BA210507.007","Bacteria",2020-09-21,"PE477",6,30,696622.73476112,375825.867885649,320796.866875472,NA,NA,NA,NA,NA
"BA210507.008","Bacteria",2020-09-22,"PE477",7,7,1181960.46128501,735052.49493325,446907.966351758,NA,NA,NA,NA,NA
"BA210507.009","Bacteria",2020-09-22,"PE477",7,7,1187149.91762768,723450.344976933,463699.572650744,NA,NA,NA,NA,NA
"BA210507.010","Bacteria",2020-09-22,"PE477",7,15,1198023.06425041,735554.556554406,462468.507696006,NA,NA,NA,NA,NA
"BA210507.011","Bacteria",2020-09-22,"PE477",7,30,1178747.94069193,691100.855885359,487647.084806568,NA,NA,NA,NA,NA
"BA210506.106","Bacteria",2021-04-14,"PE486",1,7,911243.822075783,507618.881638854,403624.940436928,NA,NA,NA,NA,NA
"BA210506.107","Bacteria",2021-04-14,"PE486",1,15,964003.294892916,544065.921076655,419937.373816261,NA,NA,NA,NA,NA
"BA210506.108","Bacteria",2021-04-14,"PE486",1,30,1005642.50411862,549138.611313113,456503.892805503,NA,NA,NA,NA,NA
"BA210506.109","Bacteria",2021-04-15,"PE486",2,7,1128088.96210873,639699.193557552,488389.76855118,NA,NA,NA,NA,NA
"BA210506.110","Bacteria",2021-04-15,"PE486",2,15,1192462.9324547,651444.945697748,541017.986756947,NA,NA,NA,NA,NA
"BA210506.111","Bacteria",2021-04-15,"PE486",2,30,1113261.94398682,575467.369026362,537794.574960459,NA,NA,NA,NA,NA
"BA210506.112","Bacteria",2021-04-16,"PE486",3,7,926688.63261944,482426.469280492,444262.163338948,NA,NA,NA,NA,NA
"BA210506.113","Bacteria",2021-04-16,"PE486",3,15,933360.7907743,495149.319864254,438211.470910046,NA,NA,NA,NA,NA
"BA210506.130","Bacteria",2021-04-18,"PE486",4,7,794913.509060955,436294.76891601,358618.740144946,NA,NA,NA,NA,NA
"BA210506.131","Bacteria",2021-04-18,"PE486",4,15,791453.871499176,432835.983711127,358617.887788049,NA,NA,NA,NA,NA
"BA210506.132","Bacteria",2021-04-18,"PE486",4,30,708051.894563427,357113.023906074,350938.870657352,NA,NA,NA,NA,NA
"BA210506.133","Bacteria",2021-04-19,"PE486",5,7,759699.341021417,379602.694131963,380096.646889454,NA,NA,NA,NA,NA
"BA210506.134","Bacteria",2021-04-19,"PE486",5,15,733752.059308072,367863.915294303,365888.14401377,NA,NA,NA,NA,NA
"BA210506.136","Bacteria",2021-04-20,"PE486",6,7,1253191.92751236,676372.855810926,576819.071701429,NA,NA,NA,NA,NA
"BA210506.137","Bacteria",2021-04-20,"PE486",6,7.8,1151379.73640857,618672.076772207,532707.65963636,NA,NA,NA,NA,NA
"BA210506.135","Bacteria",2021-04-20,"PE486",6,15,1136799.83525535,623733.069104687,513066.766150667,NA,NA,NA,NA,NA
"BA210506.155","Bacteria",2021-04-21,"PE486",7,7,1153356.67215815,607621.449110631,545735.223047524,NA,NA,NA,NA,NA
"BA210506.156","Bacteria",2021-04-21,"PE486",7,15,1185481.87808896,664818.533695404,520663.344393558,NA,NA,NA,NA,NA
"BA210506.157","Bacteria",2021-04-21,"PE486",7,30,1253562.6029654,745121.168810338,508441.434155065,NA,NA,NA,NA,NA
"BA210506.160","Bacteria",2021-04-22,"PE486",8,2,1000020.59308072,577210.502898496,422810.090182228,NA,NA,NA,NA,NA
"BA210506.158","Bacteria",2021-04-22,"PE486",8,7,966042.009884679,535948.891559854,430093.118324824,NA,NA,NA,NA,NA
"BA210506.161","Bacteria",2021-04-22,"PE486",8,15,829015.650741351,439210.317943421,389805.33279793,NA,NA,NA,NA,NA
"BA210506.159","Bacteria",2021-04-22,"PE486",8,30,830869.02800659,431676.416364357,399192.611642233,NA,NA,NA,NA,NA
"BA210506.162","Bacteria",2021-04-22,"PE486",8,40,824196.86985173,422164.67872819,402032.19112354,NA,NA,NA,NA,NA
"BA210506.163","Bacteria",2021-04-22,"PE486",8,45.8,827656.507413509,438963.024525834,388693.482887675,NA,NA,NA,NA,NA
"VI210507.067","Viruses",2020-08-04,"NJ2020",1,NA,NA,NA,NA,182285831.960461,140810684.800918,33328040.063183,8147107.09636019,NA
"VI210507.068","Viruses",2020-08-06,"NJ2020",2,NA,NA,NA,NA,204686985.172982,161552700.965049,34950477.7576252,8183806.45030764,NA
"VI210507.069","Viruses",2020-08-18,"NJ2020",3,NA,NA,NA,NA,226495057.660626,191800794.822724,26766126.8263093,7928136.01159248,NA
"vi201028.008","Viruses",2020-08-20,"NJ2020",4,NA,NA,NA,NA,183418451.40033,153581029.70319,22152025.1993912,7685396.49774796,"Whole water efficiency sample as the abundance sample was lost"
"VI210507.070","Viruses",2020-09-01,"NJ2020",5,NA,NA,NA,NA,137359967.051071,111715890.515051,22360924.868779,3283151.66724136,NA
"VI210507.071","Viruses",2020-09-03,"NJ2020",6,NA,NA,NA,NA,153088962.108731,122845568.993892,25154252.8353221,5089140.27951703,NA
"VI210507.072","Viruses",2020-09-05,"NJ2020",7,NA,NA,NA,NA,133369028.00659,107261385.595218,22336907.103334,3770735.30803807,NA
"VI210507.038","Viruses",2020-09-16,"PE477",1,7,NA,NA,NA,33559719.9341021,23971546.8462301,8282416.77146655,1305756.31640554,NA
"VI210507.039","Viruses",2020-09-17,"PE477",2,7,NA,NA,NA,20867792.4217463,15834291.6602692,4686580.28292922,346920.478547923,NA
"VI210507.040","Viruses",2020-09-17,"PE477",2,15,NA,NA,NA,20796128.5008237,15758909.4207434,4640041.60568096,397177.474399321,NA
"VI210507.041","Viruses",2020-09-17,"PE477",2,30,NA,NA,NA,20484761.1202636,15635093.5183015,4472261.5628989,377406.039063198,NA
"VI210507.025","Viruses",2020-09-18,"PE477",3,7,NA,NA,NA,37050247.1169687,26515367.9737221,9230582.52772321,1304296.61552337,NA
"VI210507.026","Viruses",2020-09-18,"PE477",3,15,NA,NA,NA,36558484.3492586,26798754.1475372,8609647.42835983,1150082.77336161,NA
"VI210507.027","Viruses",2020-09-18,"PE477",3,30,NA,NA,NA,34008237.2322899,24419951.7867194,8367628.18818369,1220657.25738688,NA
"VI210507.028","Viruses",2020-09-19,"PE477",4,7,NA,NA,NA,39775947.2817133,29932416.3692441,8608210.2614526,1235320.65101667,NA
"VI210507.029","Viruses",2020-09-19,"PE477",4,15,NA,NA,NA,33649917.6276771,25765626.7688075,6870984.93192464,1013305.92694501,NA
"VI210507.030","Viruses",2020-09-19,"PE477",4,30,NA,NA,NA,34603789.1268534,26855993.9251088,6782160.90240692,965634.299337668,NA
"VI210507.031","Viruses",2020-09-20,"PE477",5,7,NA,NA,NA,54172981.878089,39436826.2391272,12473195.1017415,2262960.53722027,NA
"VI210507.032","Viruses",2020-09-20,"PE477",5,15,NA,NA,NA,52396210.8731466,37915421.2519859,12238241.1397421,2242548.48141867,NA
"VI210507.033","Viruses",2020-09-20,"PE477",5,30,NA,NA,NA,45197693.5749588,32979471.957831,10506836.8985801,1711384.71854765,NA
"VI210507.009","Viruses",2020-09-21,"PE477",6,7,NA,NA,NA,36079077.4299835,24830681.4110609,9534764.34528113,1713631.67364146,NA
"VI210507.010","Viruses",2020-09-21,"PE477",6,15,NA,NA,NA,35762767.7100494,24658439.6462523,9405540.0467037,1698788.01709343,NA
"VI210507.011","Viruses",2020-09-21,"PE477",6,30,NA,NA,NA,24857495.8813839,17428818.9513151,6261811.93958525,1166864.99048349,NA
"VI210507.012","Viruses",2020-09-22,"PE477",7,7,NA,NA,NA,54155683.6902801,37778323.0181066,13342704.6773154,3034655.99485808,"Bottle 3"
"VI210507.013","Viruses",2020-09-22,"PE477",7,7,NA,NA,NA,87575782.5370675,70552119.1235891,13918493.8665242,3105169.54695424,"Bottle 11; seems higher than Bottle 3"
"VI210507.016","Viruses",2020-09-22,"PE477",7,7,NA,NA,NA,86547775.9472817,69802812.833255,13686359.3327155,3058603.78131121,"Bottle 11; seems higher than Bottle 3"
"VI210507.014","Viruses",2020-09-22,"PE477",7,15,NA,NA,NA,55025535.4200988,38395492.2221753,13347859.1745599,3282184.02336366,NA
"VI210507.015","Viruses",2020-09-22,"PE477",7,30,NA,NA,NA,54002471.169687,37187679.0384158,13654887.2812317,3159904.85003947,NA
"VI210506.094","Viruses",2021-04-14,"PE486",1,7,NA,NA,NA,20372940.6919275,15389386.0639212,4455441.33370021,528113.294306071,NA
"VI210506.095","Viruses",2021-04-14,"PE486",1,15,NA,NA,NA,23256795.7166392,18296608.0980103,4425358.22845234,534829.390176592,NA
"VI210506.096","Viruses",2021-04-14,"PE486",1,30,NA,NA,NA,27487438.2207578,22539961.3643504,4385317.71432169,562159.142085779,NA
"VI210506.097","Viruses",2021-04-15,"PE486",2,7,NA,NA,NA,22428953.8714992,16790112.8481299,4964259.3715059,674581.651863367,NA
"VI210506.098","Viruses",2021-04-15,"PE486",2,15,NA,NA,NA,33907537.0675453,28243689.2312936,5045057.76987314,618790.066378546,NA
"VI210506.099","Viruses",2021-04-15,"PE486",2,30,NA,NA,NA,28650123.5584843,22423910.1956497,5487894.19203108,738319.170803573,NA
"VI210506.100","Viruses",2021-04-16,"PE486",3,7,NA,NA,NA,42011738.0560132,31329704.2969815,10118805.8302219,563227.928809731,NA
"VI210506.101","Viruses",2021-04-16,"PE486",3,15,NA,NA,NA,41497734.7611203,30883969.8967429,10039852.3259878,573912.5383896,NA
"VI210506.118","Viruses",2021-04-18,"PE486",4,7,NA,NA,NA,13643945.6342669,9457040.46576239,3806586.12643434,380319.042070157,NA
"VI210506.119","Viruses",2021-04-18,"PE486",4,15,NA,NA,NA,12963138.3855025,8853204.82974071,3723394.69926977,386538.856491989,NA
"VI210506.120","Viruses",2021-04-18,"PE486",4,30,NA,NA,NA,12808690.2800659,8759397.00028061,3666541.0654047,382752.214380595,NA
"VI210506.121","Viruses",2021-04-19,"PE486",5,7,NA,NA,NA,18433072.4876442,12775866.49944,5101783.84168381,555422.146520351,NA
"VI210506.122","Viruses",2021-04-19,"PE486",5,15,NA,NA,NA,17186367.3805601,11782008.7082467,4927503.49534456,476855.176968829,NA
"VI210506.124","Viruses",2021-04-20,"PE486",6,7,NA,NA,NA,39722199.3410214,28477558.6530188,10426478.3795009,818162.308501738,NA
"VI210506.125","Viruses",2021-04-20,"PE486",6,7.8,NA,NA,NA,37903418.4514003,27146493.3651392,9998569.64261725,758355.443643897,NA
"VI210506.123","Viruses",2021-04-20,"PE486",6,15,NA,NA,NA,39110584.8434926,27582750.4374572,10683721.0640895,844113.341945883,NA
"VI210506.142","Viruses",2021-04-21,"PE486",7,7,NA,NA,NA,38603377.2652389,28580845.8257449,9321771.00342684,700760.436067135,NA
"VI210506.143","Viruses",2021-04-21,"PE486",7,15,NA,NA,NA,41009060.9555189,30370841.3465538,9811132.1502425,827087.458722669,NA
"VI210506.144","Viruses",2021-04-21,"PE486",7,30,NA,NA,NA,43081136.738056,32441632.0281304,9762093.32586869,877411.384056887,NA
"VI210506.147","Viruses",2021-04-22,"PE486",8,2,NA,NA,NA,27602965.4036244,22018106.2766605,5041159.06186231,543700.065101547,NA
"VI210506.145","Viruses",2021-04-22,"PE486",8,7,NA,NA,NA,25598846.7874794,20033325.7899027,4944296.6629867,621224.334589983,NA
"VI210506.148","Viruses",2021-04-22,"PE486",8,15,NA,NA,NA,17881383.8550247,12792735.5109523,4608906.65236197,479741.691710467,NA
"VI210506.146","Viruses",2021-04-22,"PE486",8,30,NA,NA,NA,26830724.8764415,21462022.8228857,4839851.77549396,528850.2780619,NA
"VI210506.149","Viruses",2021-04-22,"PE486",8,40,NA,NA,NA,20210461.2850082,15017036.3073927,4655269.85370014,538155.123915372,NA
"VI210506.150","Viruses",2021-04-22,"PE486",8,45.8,NA,NA,NA,19105848.4349259,14063775.0777526,4510850.86028965,531222.496883633,NA
